artist_id,artist_genres
1wZtkThiXbVNtj6hee6dz9,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']"
0VNWuGf8SMVU2AerpdhMbP,"['garage rock', 'modern blues rock', 'neo-psychedelic']"
4eSQMlnSUDwVfRYhLqikyd,"['epicore', 'video game music']"
3K6LZGkzrJ4tD0pSrT9QZl,"['corrido', 'corridos alternativos', 'musica mexicana', 'norteno', 'sierreno']"
108moq3rq6bm1M4Ypz0J02,"['banda', 'musica mexicana', 'norteno', 'tejano']"
6AiX12wXdXFoGJ2vk8zBjy,"['filmi', 'kollywood']"
35RBpU3B1LxkEkKXYHDUqq,"['comedy', 'deep comedy', 'new comedy']"
7o6sbyEJZOSvb84L987hVH,"['banda', 'corridos alternativos', 'norteno']"
3EAHF3jdnHHdko5DBrhRUP,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']"
4DWX7u8BV0vZIQSpJQQDWU,"['alternative metal', 'nu metal', 'post-grunge']"
7xYxgSJaIf7yOFLmknYX38,"['acid rock', 'protopunk', 'psychedelic rock']"
4apX9tIeHb85yPyy4F6FJG,"['disco', 'funk rock']"
3vmtDGkzacafVdenyPHPMb,"['british soundtrack', 'theme']"
0utS63XytOEVN1EtzWhJpG,"['dream pop', 'lund indie', 'metropopolis', 'modern dream pop', 'nordic shoegaze', 'nu gaze', 'shoegaze', 'swedish indie pop']"
6KVc8Llznru8n9LVCYe9dz,"['death metal', 'metal', 'old school thrash', 'thrash metal']"
1R4VmYnD3iZlwBqgsPP5zm,"['reggae', 'roots reggae', 'traditional reggae']"
2LByFn6WymbKg67CuVYqkt,['roots worship']
7okwEbXzyT2VffBmyQBWLz,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']"
5L6QAKAkdJIPLsNbItZ2KF,"['banda', 'duranguense', 'grupera', 'musica mexicana', 'norteno']"
3AA28KZvwAUcZuOKwyblJQ,"['alternative hip hop', 'modern rock', 'rock']"
4s9LVgzhn2WH4gFlN3am1Q,['gospel']
4ShgdWtm52xvEr8uYmT0V6,"['japanese vgm', 'sound team']"
1mYsTxnqsietFxj1OgoGbG,['filmi']
0OJXBz0TBaRCbyDpx62nZW,['cumbia']
1LhK7wn59Hq6GNN4sUS3ih,"['experimental rock', 'noise rock', 'rhode island indie']"
65HuWBUC1d8ty1q6J42Nfi,"['latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol']"
1fCYSbCNlmuj3tteIn02rD,[]
7LOYTIZlvOwx83g2iBL3eM,['vocaloid']
2ApaG60P4r0yhBoDCGD8YG,"['alternative rock', 'indie rock', 'melancholia', 'singer-songwriter']"
6NB4b8lltHCjOhW7vQZkAy,"['hardcore punk', 'punk', 'uk82']"
6Ztu7H5Yvy0hW7OdiUnDRX,"['adoracion', 'latin christian']"
2vd2HnNh4pdYa9gDVHFjEu,"['alternative metal', 'christian metal', 'melodic metalcore', 'metalcore', 'nu metal']"
3ATyg4fGC9F8trfb0GRWmX,"['latin pop', 'reggaeton', 'urbano latino']"
6vjgLoIHeoblpnAKNPeF8Q,['modern mod']
27plYDXNJSOD084j39Lmlj,"['musica mexicana', 'norteno', 'tejano']"
7h4j9YTJJuAHzLCc3KCvYu,"['acoustic pop', 'viral pop']"
1utVivrC7PRXJ65TMt0V4x,['romantico']
776Uo845nYHJpNaStv1Ds4,"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']"
1kNQXvepPjaPgUfeDAF2h6,"['modern alternative rock', 'modern rock', 'neon pop punk', 'pop emo', 'pop punk']"
2xt1t3lfZ5FGaEKrs0jp0d,"['classical', 'early music', 'medieval']"
6sq1yF0OZEWA4xoXVKW1L9,"['latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']"
32lXHXuhXtdA2j3IDXNND4,"['banda', 'banda jalisciense', 'musica mexicana', 'norteno']"
5j4HeCoUlzhfWtjAfM1acR,"['belgian pop', 'g-house']"
1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
6udveWUgX4vu75FF0DTrXV,"['k-pop', 'korean r&b']"
7BYXrz5LhCrix6A3EwPvU0,"['chillhop', 'jazz boom bap']"
3bWxjvKUe8YV0VkI5d3I1Y,['electro jazz']
2llyl9OO3itnyIvJcIEaeP,['brazilian gospel']
3bLSAQPeix7Xm2e5Gtn48R,"['bluegrass', 'modern southern rock', 'neo-traditional bluegrass', 'new americana']"
39PYJNgoQuBHjE6LEn3ZdE,"['latin christian', 'latin worship', 'rock cristiano']"
6NeoLSPGwJLfeisvM36SMi,['japanese vgm']
2s6lxOYvvCvzpHtd3VyuMj,"['electro-pop francais', 'electroclash', 'electrofox', 'new rave']"
6BPFsvVekatEQbA8l07afM,"['early modern classical', 'impressionism']"
2cCUtGK9sDU2EoElnk0GNB,"['chamber pop', 'indie folk', 'indie rock', 'indietronica', 'modern rock']"
3OfiFNgFbJAwuQnVvOL2bh,['la indie']
6wmb3FdVsb7UOqaXLWdPHQ,"['abstract hip hop', 'indie pop rap', 'underground rap']"
43ZHCT0cAZBISjO8DG9PnE,"['rock-and-roll', 'rockabilly']"
3GHovBcEWpbnwCZDPF9GpM,['disco']
68tKVjVvcqUfKFFLr2j0Ek,"['lexington ky indie', 'neon pop punk', 'pop emo', 'pop punk', 'progressive post-hardcore', 'screamo']"
5xSx2FM8mQnrfgM1QsHniB,"['latin pop', 'latin viral pop', 'mexican pop']"
